epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,24165.3,0.09966,0.31399,0.88628,0.95705,1,0.995,0.97637,0.15834,0.18131,0.61787,0.000231213,0.000231213,0.000231213
89,24439.8,0.0965,0.31093,0.88026,0.94693,1,0.995,0.97581,0.16346,0.20331,0.63854,0.00021471,0.00021471,0.00021471
90,24713.7,0.09315,0.31235,0.87825,0.93729,1,0.995,0.97581,0.16355,0.25121,0.63979,0.000198206,0.000198206,0.000198206
91,24979.4,0.04293,0.2433,0.83955,0.87706,0.98704,0.995,0.97861,0.16068,0.30218,0.66114,0.000181703,0.000181703,0.000181703
92,25245.3,0.03543,0.2122,0.83609,0.89988,0.99454,0.995,0.97861,0.15734,0.2747,0.65422,0.0001652,0.0001652,0.0001652
93,25511.1,0.0337,0.18881,0.83694,0.92385,1,0.995,0.97861,0.14905,0.23154,0.64889,0.000148696,0.000148696,0.000148696
94,25776.2,0.03344,0.18943,0.83381,0.74065,0.99093,0.995,0.98411,0.14263,0.44083,0.62883,0.000132193,0.000132193,0.000132193
95,26041.7,0.03138,0.17367,0.83307,0.74846,0.97521,0.995,0.98411,0.13302,0.47927,0.5838,0.00011569,0.00011569,0.00011569
96,26306.8,0.03157,0.16909,0.83799,0.93536,1,0.995,0.97861,0.13128,0.21138,0.57001,9.91865e-05,9.91865e-05,9.91865e-05
97,26572.3,0.02986,0.16917,0.83338,0.94671,1,0.995,0.97861,0.12147,0.19634,0.51956,8.26832e-05,8.26832e-05,8.26832e-05
98,26837.8,0.02999,0.16409,0.83654,0.93993,1,0.995,0.97861,0.11857,0.20097,0.50105,6.61799e-05,6.61799e-05,6.61799e-05
99,27102.6,inf,0.15707,0.83555,0.95697,1,0.995,0.995,0.11155,0.17158,0.47505,4.96766e-05,4.96766e-05,4.96766e-05
100,27368.3,0.02742,0.17016,0.82991,0.95731,1,0.995,0.995,0.10757,0.16287,0.46045,3.31733e-05,3.31733e-05,3.31733e-05
